 type   sat      day     hms     lat     lon     pre   spd   dir   rff    qi  int
IR     MTSAT   20131107  0513   14.91  -137.09   337   12.2  132  70.49  0.96  15
IR     MTSAT   20131107  0513   14.91  -137.32   300   13.0  127  64.62  0.93  15
IR     MTSAT   20131107  0513   15.29  -140.68   175    7.9  320  74.02  0.96  15
IR     MTSAT   20131107  0513   15.21  -141.47   200    8.3  316  66.47  0.81  15
IR     MTSAT   20131107  0513   15.21  -141.51   200    8.3  316  66.38  0.84  15
IR     MTSAT   20131107  0513   15.17  -142.59   150    5.7  356  75.00  0.64  15
IR     MTSAT   20131107  0513   15.10  -144.21   212    4.6   12  72.24  0.93  15
IR     MTSAT   20131107  0513   14.84  -144.84   887   12.0   90  83.04  1.00  15
IR     MTSAT   20131107  0513   14.81  -118.61   150   10.9  147  75.84  1.00  15
IR     MTSAT   20131107  0513   14.88  -121.16   225   15.7  148  53.52  0.84  15
IR     MTSAT   20131107  0513   14.87  -121.49   162   14.9  148  68.68  0.94  15
IR     MTSAT   20131107  0513   14.31  -123.04   150   19.5  132  59.42  0.98  15
IR     MTSAT   20131107  0513   14.80  -123.55   187    7.5  136  66.85  0.69  15
IR     MTSAT   20131107  0513   14.37  -123.91   150   13.9  145  64.43  0.84  15
IR     MTSAT   20131107  0513   14.75  -124.39   150   11.8  151  65.85  0.67  15
IR     MTSAT   20131107  0513   14.69  -125.73   187    4.3   71  54.57  0.73  15
IR     MTSAT   20131107  0513   14.65  -126.40   162    5.9  115  62.68  0.66  15
IR     MTSAT   20131107  0513   14.37  -126.93   150    8.2  126  71.28  0.94  15
IR     MTSAT   20131107  0513   14.71  -127.49   150    8.1  144  76.86  0.90  15
IR     MTSAT   20131107  0513   14.32  -127.98   200    7.8  118  68.08  0.99  15
IR     MTSAT   20131107  0513   14.35  -128.90   212    7.6  104  70.38  0.93  15
IR     MTSAT   20131107  0513   14.54  -129.47   225    8.5  103  74.93  0.97  15
IR     MTSAT   20131107  0513   14.34  -130.17   237   10.2  104  68.23  0.98  15
IR     MTSAT   20131107  0513   14.38  -130.28   237    9.9  102  71.79  0.98  15
IR     MTSAT   20131107  0513   14.22  -130.93   237   10.2   98  82.27  0.96  15
IR     MTSAT   20131107  0513   14.33  -131.54   237    8.1   99  70.69  0.99  15
IR     MTSAT   20131107  0513   14.24  -132.37   187    7.4   87  59.63  0.89  15
IR     MTSAT   20131107  0513   14.58  -133.38   262   15.4  122  49.16  0.84  15
IR     MTSAT   20131107  0513   14.35  -134.48   262   14.7  119  52.35  0.71  15
IR     MTSAT   20131107  0513   14.69  -135.11   237    7.3  128  72.69  0.98  15
IR     MTSAT   20131107  0513   14.61  -135.37   225    6.4  141  68.11  0.93  15
IR     MTSAT   20131107  0513   14.64  -137.47   300   13.4  131  61.04  0.97  15
IR     MTSAT   20131107  0513   14.56  -137.58   300   11.0  133  72.04  0.78  15
